personLabel,categoryLabel,year,age
Эрнест Томас Синтон Уолтон,Нобелевская премия по физике,1951,48
Карло Руббиа,Нобелевская премия по физике,1984,50
Пьер Жиль де Жен,Нобелевская премия по физике,1991,59
Лео Джеймс Рейнуотер,Нобелевская премия по физике,1975,58
Мартин Райл,Нобелевская премия по физике,1974,56
Филип Уоррен Андерсон,Нобелевская премия по физике,1977,54
Франсуа Энглер,Нобелевская премия по физике,2013,81
Фриц Цернике,Нобелевская премия по физике,1953,65
Невилл Фрэнсис Мотт,Нобелевская премия по физике,1977,72
Кэнъити Фукуи,Нобелевская премия по химии,1981,63
Томас Роберт Чек,Нобелевская премия по химии,1989,42
Фрэнсис Уильям Астон,Нобелевская премия по химии,1922,45
Роберт Брюс Меррифилд,Нобелевская премия по химии,1984,63
Уильям Мёрнер,Нобелевская премия по химии,2014,61
Эмманюэль Шарпантье,Нобелевская премия по химии,2020,52
Ларс Онсагер,Нобелевская премия по химии,1968,65
Томас Линдал,Нобелевская премия по химии,2015,77
Элайас Джеймс Кори,Нобелевская премия по химии,1990,62
Уильям Фрэнсис Джиок,Нобелевская премия по химии,1949,54
Джон Уоркап Корнфорт,Нобелевская премия по химии,1975,58
Дональд Джеймс Крам,Нобелевская премия по химии,1987,68
Пауль Крутцен,Нобелевская премия по химии,1995,62
Петер Йозеф Вильгельм Дебай,Нобелевская премия по химии,1936,52
Герберт Чарлз Браун,Нобелевская премия по химии,1979,67
Пол Бойер,Нобелевская премия по химии,1997,79
Ив Шовен,Нобелевская премия по химии,2005,75
Ричард Шрок,Нобелевская премия по химии,2005,60
Роберт Граббс,Нобелевская премия по химии,2005,63
Енс Кристиан Скоу,Нобелевская премия по химии,1997,79
Родерик Маккинон,Нобелевская премия по химии,2003,47
Альфред Вернер,Нобелевская премия по химии,1913,47
Теодор Сведберг,Нобелевская премия по химии,1926,42
Азиз Санджар,Нобелевская премия по химии,2015,69
Эрик Бетциг,Нобелевская премия по химии,2014,54
Ярослав Гейровский,Нобелевская премия по химии,1959,69
Теодор Уильям Ричардс,Нобелевская премия по химии,1914,46
Томас Стейц,Нобелевская премия по химии,2009,69
Александер Робертус Тодд,Нобелевская премия по химии,1957,50
Арттури Илмари Виртанен,Нобелевская премия по химии,1945,50
Алан Хигер,Нобелевская премия по химии,2000,64
Джеймс Батчеллер Самнер,Нобелевская премия по химии,1946,59
Джордж Портер,Нобелевская премия по химии,1967,47
Ричард Смолли,Нобелевская премия по химии,1996,53
Кэри Муллис,Нобелевская премия по химии,1993,49
Питер Деннис Митчелл,Нобелевская премия по химии,1978,58
Одд Хассель,Нобелевская премия по химии,1969,72
Рёдзи Ноёри,Нобелевская премия по химии,2001,63
Уолтер Норман Хоуорс,Нобелевская премия по химии,1937,54
Харольд Крото,Нобелевская премия по химии,1996,57
Курт Вютрих,Нобелевская премия по химии,2002,64
Уолтер Гилберт,Нобелевская премия по химии,1980,48
Станфорд Мур,Нобелевская премия по химии,1972,59
Уильям Ноулз,Нобелевская премия по химии,2001,84
Фредерик Сенгер,Нобелевская премия по химии,1958,40
Фредерик Сенгер,Нобелевская премия по химии,1980,62
Мунги Бавенди,Нобелевская премия по химии,2023,62
Луис Брюс,Нобелевская премия по химии,2023,80
Пол Джон Флори,Нобелевская премия по химии,1974,64
Леопольд Ружичка,Нобелевская премия по химии,1939,52
Жан-Мари Лен,Нобелевская премия по химии,1987,48
Фредерик Содди,Нобелевская премия по химии,1921,44
Фредерик Жолио-Кюри,Нобелевская премия по химии,1935,35
Кристиан Бемер Анфинсен,Нобелевская премия по химии,1972,56
Коити Танака,Нобелевская премия по химии,2002,43
Аарон Клуг,Нобелевская премия по химии,1982,56
Акира Судзуки,Нобелевская премия по химии,2010,80
Алексей Иванович Екимов,Нобелевская премия по химии,2023,78
Роджер Корнберг,Нобелевская премия по химии,2006,59
Барри Шарплесс,Нобелевская премия по химии,2001,60
Барри Шарплесс,Нобелевская премия по химии,2022,81
Мартин Чалфи,Нобелевская премия по химии,2008,61
Роджер Тсиен,Нобелевская премия по химии,2008,56
Алан Макдиармид,Нобелевская премия по химии,2000,73
Роберт Кёрл,Нобелевская премия по химии,1996,63
Уильям Нанн Липскомб,Нобелевская премия по химии,1976,57
Анри Муассан,Нобелевская премия по химии,1906,54
Якоб Вант-Гофф,Нобелевская премия по химии,1901,49
Уэнделл Мередит Стэнли,Нобелевская премия по химии,1946,42
Эйити Негиси,Нобелевская премия по химии,2010,75
Ричард Хендерсон,Нобелевская премия по химии,2017,72
"Пригожин, Илья Романович",Нобелевская премия по химии,1977,60
Гарольд Клейтон Юри,Нобелевская премия по химии,1934,41
Джон Хауард Нортроп,Нобелевская премия по химии,1946,55
Хидэки Сиракава,Нобелевская премия по химии,2000,64
Джордж Ола,Нобелевская премия по химии,1994,67
Пол Берг,Нобелевская премия по химии,1980,54
Дерек Бартон,Нобелевская премия по химии,1969,51
Ричард Хек,Нобелевская премия по химии,2010,79
Беньямин Лист,Нобелевская премия по химии,2021,53
Питер Эгр,Нобелевская премия по химии,2003,54
Ирвинг Ленгмюр,Нобелевская премия по химии,1932,51
Джером Карле,Нобелевская премия по химии,1985,67
Джон Беннетт Фенн,Нобелевская премия по химии,2002,85
Джон Кларк,Нобелевская премия по физике,2025,83
Вильгельм Фридрих Оствальд,Нобелевская премия по химии,1909,56
Грег Уинтер,Нобелевская премия по химии,2018,67
Ахмед Зевейл,Нобелевская премия по химии,1999,53
Марио Молина,Нобелевская премия по химии,1995,52
Уиллард Франк Либби,Нобелевская премия по химии,1960,52
Эдвин Маттисон Макмиллан,Нобелевская премия по химии,1951,44
Артур Гарден,Нобелевская премия по химии,1929,64
Уильям Говард Стайн,Нобелевская премия по химии,1972,61
Херберт Аарон Хауптман,Нобелевская премия по химии,1985,68
Шервуд Роуленд,Нобелевская премия по химии,1995,68
Осаму Симомура,Нобелевская премия по химии,2008,80
Рихард Эрнст,Нобелевская премия по химии,1991,58
Сидни Олтмен,Нобелевская премия по химии,1989,50
Виктор Гриньяр,Нобелевская премия по химии,1912,41
Поль Сабатье,Нобелевская премия по химии,1912,58
Кофи Аннан,Нобелевская премия мира,2001,63
Корделл Халл,Нобелевская премия мира,1945,74
Роберт Сесил,Нобелевская премия мира,1937,73
Ральф Банч,Нобелевская премия мира,1950,46
Альфонсо Гарсия Роблес,Нобелевская премия мира,1982,71
Алесь Викторович Беляцкий,Нобелевская премия мира,2022,60
Ицхак Рабин,Нобелевская премия мира,1994,72
Фрэнк Биллингс Келлог,Нобелевская премия мира,1929,73
